,team,projected_position,avgheight,avgweight,avgbroad,avgarm,avgfourty,avgten,avgthree,avgshuttle,avgvert
335,SF,TE,76.1,257.2,119.39,33.6,4.73,1.69,7.17,4.45,33.11
336,SF,WR,72.5,201.5,124.85,32.4,4.47,1.58,6.97,4.17,37.69
337,TB,CB,72.0,199.2,125.91,31.8,4.49,1.59,7.00,4.17,37.55
338,TB,DI,76.9,321.0,105.00,32.7,5.01,1.72,7.25,4.44,30.00
339,TB,ED,74.8,270.4,115.22,32.8,4.73,1.65,7.14,4.34,34.39
340,TB,G,77.1,306.5,105.22,32.6,5.12,1.78,7.51,4.60,28.89
341,TB,HB,70.7,214.2,119.79,30.9,4.48,1.60,7.01,4.23,36.02
342,TB,LB,72.7,230.2,118.61,32.5,4.52,1.60,7.13,4.23,36.29
343,TB,QB,76.5,230.9,104.62,32.4,4.99,1.74,7.20,4.43,28.71
344,TB,S,70.4,202.0,124.02,31.3,4.52,1.57,NA,NA,38.29
345,TB,T,77.0,323.6,113.94,33.8,5.05,1.74,7.74,4.71,33.39
346,TB,TE,77.8,255.7,121.00,33.8,4.51,1.55,6.85,4.16,30.00
347,TB,WR,75.8,225.4,126.00,34.2,4.50,1.58,7.06,4.19,36.75
348,TEN,CB,71.0,191.0,122.08,30.5,4.49,1.55,6.84,4.26,34.91
349,TEN,DI,74.4,307.6,103.53,32.4,5.09,1.79,7.56,4.62,28.56
350,TEN,ED,75.8,265.2,114.27,33.5,4.76,1.64,7.11,4.32,33.11
351,TEN,G,75.0,321.2,105.72,34.1,5.39,1.89,7.97,4.94,26.27
352,TEN,HB,71.3,218.0,126.84,31.7,4.50,1.57,7.06,4.23,37.01
353,TEN,LB,73.6,240.6,118.62,32.3,4.60,1.64,7.16,4.31,31.73
354,TEN,QB,75.1,225.7,121.28,31.9,4.52,1.61,6.83,4.11,35.26
355,TEN,S,71.3,212.0,108.00,33.5,4.46,1.61,6.73,4.15,38.00
356,TEN,T,77.6,315.8,110.58,34.0,5.08,1.75,7.69,4.67,30.61
357,TEN,TE,75.0,248.0,127.00,32.9,4.62,1.66,7.43,4.18,38.00
358,TEN,WR,73.9,212.5,124.51,32.6,4.50,1.59,7.01,4.31,35.86
359,WAS,C,75.0,306.0,111.00,33.3,5.26,1.81,NA,NA,32.50
360,WAS,CB,73.0,188.8,125.89,32.1,4.40,1.52,6.77,4.09,36.54
361,WAS,DI,75.4,303.3,105.85,33.5,4.99,1.73,7.51,4.71,27.59
362,WAS,ED,76.6,262.0,121.77,33.9,4.68,1.65,7.14,4.38,33.66
363,WAS,G,76.3,317.2,104.14,33.1,5.12,1.81,7.30,4.59,30.81
364,WAS,HB,72.5,226.8,118.88,31.2,4.50,1.61,7.08,4.51,32.17
365,WAS,LB,73.8,230.9,125.06,32.7,4.48,1.58,6.94,4.24,36.22
366,WAS,QB,74.7,226.0,NA,32.7,4.65,1.53,NA,NA,28.50
367,WAS,S,70.0,194.0,133.00,31.1,4.46,1.44,NA,NA,44.00
368,WAS,T,77.7,309.2,111.93,34.4,5.15,1.82,7.62,4.65,26.08
369,WAS,TE,74.5,236.0,NA,33.0,4.72,1.66,NA,NA,NA
370,WAS,WR,72.5,194.7,124.70,31.6,4.44,1.57,7.02,4.17,37.86
