"","team","GM","projected_position","avgheight","avgweight","avgbroad","avgarm","avgfourty","avgten","avgthree","avgshuttle","avgvert","minheight","maxheight","minweight","maxweight","minbroad","maxbroad","minarm","maxarm","minfourty","maxfourty","minten","maxten","minthree","maxthree","minshuttle","maxshuttle","minvert","maxvert","players"
"78","DAL","Jerry Jones","DI",74.8,305,110.35,33.47,5,1.74,7.66,4.61,30.96,72.2,77.1,275,327,95,120,32,34.8,4.79,5.34,1.69,1.81,7.09,8.21,4.38,5.15,27.5,35,11
"79","DAL","Jerry Jones","ED",75.8,256.8,117.12,33.76,4.76,1.66,7.23,4.4,33.3,74,77.6,223,277,100,125,32.1,34.8,4.46,5.03,1.55,1.78,6.8,7.8,4.23,4.73,27,39.5,14
"80","DAL","Jerry Jones","G",76.5,303.1,107.34,33.09,5.14,1.78,7.67,4.6,30.17,74.9,77.2,296,311,103,112,32.9,33.9,5.05,5.31,1.72,1.89,7.14,7.83,4.38,4.63,28,34,5
"81","DAL","Jerry Jones","HB",71.4,217.3,120.6,31.17,4.47,1.57,7.11,4.25,33.97,65,73.4,179,228,116,133,27.8,33.5,4.37,4.63,1.53,1.63,6.82,7.28,4.18,4.37,32.5,41,8
"82","DAL","Jerry Jones","LB",74.6,243.8,121.73,32.62,4.6,1.61,7.03,4.32,35.71,72,76.2,229,256,110,127,30.9,33.9,4.39,4.97,1.55,1.79,6.88,7.3,4.15,4.53,30,40.5,15
"83","DAL","Jerry Jones","QB",75.1,222.8,107.76,32.1,4.91,1.69,7.27,4.35,30.23,73.5,76.6,210,226,96,116,31.9,32.2,4.79,5.09,1.66,1.73,7.11,7.5,4.32,4.4,27,32.5,3
"84","DAL","Jerry Jones","S",71.9,209.6,123.04,31.45,4.56,1.57,6.96,4.14,35.99,71.1,72,197,217,111,128,30.4,33.4,4.52,4.64,1.52,1.65,6.72,7.55,4.07,4.5,32,40.5,6
"85","DAL","Jerry Jones","T",77.2,312.9,106.82,35.06,5.03,1.72,7.68,4.68,29.45,76,79.6,305,324,95,113,33.4,36.4,4.93,5.19,1.67,1.9,7.47,8,4.56,4.89,27.5,33.5,7
"86","DAL","Jerry Jones","TE",77.2,252.1,119.81,32.86,4.73,1.64,6.96,4.34,32.8,75.8,78.2,244,273,114,127,31.2,33.6,4.43,4.84,1.57,1.71,6.76,7.28,4.11,4.58,31.5,36,7
"87","DAL","Jerry Jones","WR",73,200.5,120.97,31.6,4.51,1.58,6.92,4.22,34.67,68.5,75,181,222,111,130,28,34.1,4.42,4.69,1.49,1.67,6.69,7.15,4,4.37,32,37,12
"88","DEN","George Paton","C",75.4,312.2,110.31,33.32,5.06,1.73,7.37,4.5,30.3,75,76,299,320,95,113,32.8,34.1,4.99,5.2,1.72,1.73,7.33,7.45,4.47,4.57,20.5,32,3
"89","DEN","George Paton","CB",72.7,201,128.9,31.73,4.43,1.54,6.63,4.14,39.5,69.5,74,185,208,117,133,30,32.5,4.39,4.49,1.48,1.59,6.6,6.78,3.94,4.18,35.5,43.5,6
"90","DEN","George Paton","DI",75.4,289,119,33.12,NA,1.75,7.02,4.07,37.5,75.4,75.4,289,289,119,119,33.1,33.1,Inf,-Inf,1.75,1.75,7.02,7.02,4.07,4.07,37.5,37.5,1
"91","DEN","George Paton","ED",76,273.8,114.28,33.37,4.83,1.65,7.24,4.42,34.26,74.6,78.1,248,316,107,120,32.1,35.1,4.54,5.32,1.53,1.82,6.99,7.58,4.23,4.75,31.5,35.5,4
"92","DEN","George Paton","HB",69.5,212,123,30.88,4.55,1.6,6.97,4.09,36,69.5,69.5,212,212,123,123,30.9,30.9,4.55,4.55,1.6,1.6,6.97,6.97,4.09,4.09,36,36,1
"93","DEN","George Paton","LB",75.5,239.1,122.93,32.69,4.59,1.59,7,4.32,38.23,74.8,76,235,245,118,130,32.1,33.5,4.51,4.64,1.56,1.61,6.78,7.15,4.23,4.38,37,40,2
"94","DEN","George Paton","S",73.7,205,127.3,31.41,4.49,1.56,7.08,4.28,38.71,71.6,76,202,209,122,132,30.1,32.1,4.41,4.58,1.5,1.62,6.96,7.22,4.16,4.41,35,42,3
"95","DEN","George Paton","TE",76,243,122,33.38,4.69,1.62,7.05,4.37,34,76,76,243,243,122,122,33.4,33.4,4.69,4.69,1.62,1.62,7.05,7.05,4.37,4.37,34,34,1
"96","DEN","George Paton","WR",71,186,127.14,31.06,4.42,1.57,7.02,4.36,38.33,68.9,75,181,211,124,129,28.4,33.5,4.38,4.49,1.55,1.63,6.9,7.25,4.32,4.43,36,39.5,3
"97","DET","Brad Holmes","CB",73.2,205,134,32.25,4.48,1.48,7.01,4.34,41.5,73.2,73.2,205,205,134,134,32.2,32.2,4.48,4.48,1.48,1.48,7.01,7.01,4.34,4.34,41.5,41.5,1
"98","DET","Brad Holmes","DI",74.7,308.4,106.44,33.38,5,1.72,7.91,4.75,28.91,73.1,76.8,290,330,100,109,32.6,35,4.85,5.34,1.68,1.81,7.71,8.16,4.59,4.94,25,30.5,3
"99","DET","Brad Holmes","ED",77.3,261.4,118.91,32.38,4.75,1.6,6.77,4.17,36.52,72.2,78.6,244,268,117,125,32.1,34.2,4.74,4.77,1.56,1.61,6.73,7.41,4.15,4.48,36,39,3
"100","DET","Brad Holmes","G",77,304,112,33,5.17,1.91,7.76,4.7,27.5,77,77,304,304,112,112,33,33,5.17,5.17,1.91,1.91,7.76,7.76,4.7,4.7,27.5,27.5,1
"101","DET","Brad Holmes","HB",69.1,199.3,115,30.5,4.37,1.52,7.38,4.38,33.39,69,72.1,199,206,115,115,30.5,30.5,4.36,4.55,1.52,1.59,7.38,7.38,4.38,4.38,31,33.5,2
"102","DET","Brad Holmes","LB",75.2,244.6,125.07,32.03,4.62,1.61,6.74,4.26,37.6,71,77,232,249,119,128,30.1,33.4,4.52,4.65,1.54,1.7,6.74,6.74,4.24,4.32,37,39.5,3
"103","DET","Brad Holmes","QB",75,217,NA,33,NA,NA,NA,NA,NA,75,75,217,217,Inf,-Inf,33,33,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,1
"104","DET","Brad Holmes","S",72.3,193.8,124.52,31.61,4.57,1.56,6.78,4.42,36.2,71.2,73,180,203,123,128,30.8,33,4.48,4.58,1.52,1.56,6.78,6.78,4.16,4.45,34.5,39,3
"105","DET","Brad Holmes","T",76.9,331,109,33.25,5.09,1.77,7.7,4.68,28,76.9,76.9,331,331,109,109,33.2,33.2,5.09,5.09,1.77,1.77,7.7,7.7,4.68,4.68,28,28,1
"106","DET","Brad Holmes","TE",75.2,245.8,123,31.46,4.59,1.59,6.91,4.25,35,75,76,245,249,123,123,31.1,32.9,4.59,4.59,1.59,1.59,6.91,6.91,4.25,4.25,35,35,2
"107","DET","Brad Holmes","WR",73,184.3,126.04,31.74,4.5,1.56,6.85,4.27,37.3,71.4,74,179,199,123,127,30.4,32.1,4.47,4.51,1.54,1.57,6.81,6.99,4.27,4.27,33.5,38.5,3
